timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,
2026-04-17T13:25:52,2,pauli_y,3,adam,700,300,40,20,32,1514.5513449999999,0.5266666666666666,0.5235042735042734,0.04723564143853998,0.5079365079365079,0.4444444444444444,0.4740740740740741,94,62,80,64,
2026-04-17T13:26:38,2,z_feature_map,1,cobyla,700,300,40,20,32,45.11395039999843,0.52,0.5186965811965812,0.03743315508021383,0.5,0.4861111111111111,0.49295774647887325,86,70,74,70,
2026-04-17T13:43:55,2,z_feature_map,1,adam,700,300,40,20,32,1036.0042261999988,0.49,0.49439102564102566,-0.011102299762093537,0.47540983606557374,0.6041666666666666,0.5321100917431193,60,96,57,87,
2026-04-17T13:44:46,2,z_feature_map,2,cobyla,700,300,40,20,32,50.265057600001455,0.53,0.5363247863247863,0.07163550171187782,0.5076142131979695,0.6944444444444444,0.5865102639296188,59,97,44,100,
2026-04-17T14:03:48,2,z_feature_map,2,adam,700,300,40,20,32,1140.9467863999998,0.4866666666666667,0.4863782051282052,-0.027214514407684076,0.46621621621621623,0.4791666666666667,0.4726027397260274,77,79,75,69,
2026-04-17T14:04:44,2,z_feature_map,3,cobyla,700,300,40,20,32,55.569468500001676,0.5566666666666666,0.548344017094017,0.09818280444806071,0.5632183908045977,0.3402777777777778,0.42424242424242425,118,38,95,49,
2026-04-17T14:25:33,2,z_feature_map,3,adam,700,300,40,20,32,1247.7741252000014,0.52,0.5016025641025641,0.0033222591362127574,0.5,0.041666666666666664,0.07692307692307693,150,6,138,6,
2026-04-17T14:26:22,2,zz_feature_map_linear,1,cobyla,700,300,40,20,32,48.827050200001395,0.5133333333333333,0.5144230769230769,0.028738690792974975,0.4936708860759494,0.5416666666666666,0.5165562913907285,76,80,66,78,
2026-04-17T14:44:52,2,zz_feature_map_linear,1,adam,700,300,40,20,32,1108.8415528999976,0.45666666666666667,0.4612713675213675,-0.07661822985468958,0.4486486486486487,0.5763888888888888,0.5045592705167173,54,102,61,83,
2026-04-17T14:45:50,2,zz_feature_map_linear,2,cobyla,700,300,40,20,32,57.68653129999802,0.47,0.4716880341880342,-0.05633802816901401,0.4539877300613497,0.5138888888888888,0.4820846905537459,67,89,70,74,
2026-04-17T15:07:23,2,zz_feature_map_linear,2,adam,700,300,40,20,32,1291.9472772000008,0.45,0.4503205128205128,-0.0991207034372501,0.43137254901960786,0.4583333333333333,0.4444444444444444,69,87,78,66,
2026-04-17T15:08:30,2,zz_feature_map_linear,3,cobyla,700,300,40,20,32,66.33808760000102,0.49666666666666665,0.4951923076923077,-0.009628242845680646,0.4748201438848921,0.4583333333333333,0.4664310954063604,83,73,78,66,
2026-04-17T15:33:02,2,zz_feature_map_linear,3,adam,700,300,40,20,32,1471.0147975,0.52,0.5154914529914529,0.031216361679224924,0.5,0.4027777777777778,0.4461538461538462,98,58,86,58,
2026-04-17T15:33:52,2,zz_feature_map_full,1,cobyla,700,300,40,20,32,48.891592699998,0.53,0.5323183760683761,0.06424210246880813,0.5089820359281437,0.5902777777777778,0.5466237942122186,74,82,59,85,
