timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,explained_variance_sum
2026-06-10T05:38:07,8,pauli_x,3,cobyla,700,300,40,20,32,230.33327970000028,0.48,0.48183760683760685,-0.036131774707757636,0.4634146341463415,0.5277777777777778,0.4935064935064935,68,88,68,76,
2026-06-10T05:41:07,8,pauli_y,1,cobyla,700,300,40,20,32,178.1534085000003,0.48333333333333334,0.48611111111111116,-0.027578891540705364,0.4678362573099415,0.5555555555555556,0.5079365079365079,65,91,64,80,
2026-06-10T05:44:39,8,pauli_y,2,cobyla,700,300,40,20,32,209.96419720000085,0.5,0.5064102564102564,0.012638230647709192,0.48484848484848486,0.6666666666666666,0.5614035087719298,54,102,48,96,
2026-06-10T05:48:31,8,pauli_y,3,cobyla,700,300,40,20,32,229.04466700000012,0.5133333333333333,0.5176282051282051,0.03490216816499203,0.4945054945054945,0.625,0.5521472392638037,64,92,54,90,
2026-06-10T05:51:20,8,z_feature_map,1,cobyla,700,300,40,20,32,166.70069159999912,0.5433333333333333,0.5443376068376069,0.08836837902581851,0.5222929936305732,0.5694444444444444,0.5448504983388704,81,75,62,82,
2026-06-10T05:54:22,8,z_feature_map,2,cobyla,700,300,40,20,32,179.88483759999872,0.6033333333333334,0.6025641025641026,0.20518300828212666,0.5874125874125874,0.5833333333333334,0.5853658536585366,97,59,60,84,
2026-06-10T05:57:45,8,z_feature_map,3,cobyla,700,300,40,20,32,201.67359680000118,0.5066666666666667,0.5064102564102564,0.012806830309498363,0.4864864864864865,0.5,0.4931506849315068,80,76,72,72,
2026-06-10T06:00:52,8,zz_feature_map_linear,1,cobyla,700,300,40,20,32,184.76733930000046,0.5233333333333333,0.5213675213675213,0.04283801874163329,0.5037037037037037,0.4722222222222222,0.4874551971326165,89,67,76,68,
2026-06-10T06:04:31,8,zz_feature_map_linear,2,cobyla,700,300,40,20,32,215.84030100000018,0.54,0.5400641025641025,0.07999999999999996,0.52,0.5416666666666666,0.5306122448979592,84,72,66,78,
2026-06-10T06:08:42,8,zz_feature_map_linear,3,cobyla,700,300,40,20,32,248.5747193999996,0.53,0.530982905982906,0.06175139739153579,0.5095541401273885,0.5555555555555556,0.53156146179402,79,77,64,80,
2026-06-10T06:12:43,8,zz_feature_map_full,1,cobyla,700,300,40,20,32,238.20837780000147,0.5266666666666666,0.5251068376068376,0.050294275013376244,0.5072463768115942,0.4861111111111111,0.49645390070921985,88,68,74,70,
2026-06-10T06:18:10,8,zz_feature_map_full,2,cobyla,700,300,40,20,32,323.31891149999865,0.5033333333333333,0.5050747863247864,0.010098325803879926,0.48466257668711654,0.5486111111111112,0.5146579804560261,72,84,65,79,
2026-06-10T06:25:05,8,zz_feature_map_full,3,cobyla,700,300,40,20,32,410.3565462000006,0.51,0.5114850427350428,0.022866258973677223,0.4906832298136646,0.5486111111111112,0.5180327868852459,74,82,65,79,
